,cntry,leto,essround,odgovor,tvtot,rdtot,nwsptot,netuse
364,ES,2002,1,4,277,101,26,49
365,ES,2002,1,5,266,76,13,44
366,ES,2002,1,6,218,76,5,95
367,ES,2002,1,7,419,305,16,146
368,ES,2004,2,0,38,511,798,669
369,ES,2004,2,1,106,236,450,389
370,ES,2004,2,2,256,233,310,31
371,ES,2004,2,3,251,149,67,28
372,ES,2004,2,4,268,97,19,47
373,ES,2004,2,5,227,68,9,70
374,ES,2004,2,6,176,64,4,155
375,ES,2004,2,7,341,302,4,269
376,ES,2006,3,0,38,614,878,634
377,ES,2006,3,1,107,249,517,474
378,ES,2006,3,2,354,290,356,19
379,ES,2006,3,3,303,153,80,29
380,ES,2006,3,4,381,116,27,73
381,ES,2006,3,5,207,77,7,62
382,ES,2006,3,6,181,68,4,163
383,ES,2006,3,7,304,308,4,422
384,ES,2008,4,0,58,971,1241,652
385,ES,2008,4,1,134,345,746,743
386,ES,2008,4,2,470,373,448,29
387,ES,2008,4,3,456,219,95,31
388,ES,2008,4,4,453,129,23,121
389,ES,2008,4,5,372,90,12,88
390,ES,2008,4,6,192,69,4,290
391,ES,2008,4,7,438,378,5,619
392,ES,2010,5,0,49,695,899,392
393,ES,2010,5,1,124,265,584,338
394,ES,2010,5,2,327,300,319,13
395,ES,2010,5,3,355,141,49,9
396,ES,2010,5,4,314,119,20,53
397,ES,2010,5,5,243,79,10,57
398,ES,2010,5,6,174,36,2,224
399,ES,2010,5,7,297,248,2,799
400,SE,2002,1,0,35,408,181,440
401,SE,2002,1,1,120,451,721,220
402,SE,2002,1,2,439,385,828,66
403,SE,2002,1,3,353,135,175,77
404,SE,2002,1,4,363,104,58,155
405,SE,2002,1,5,271,66,22,156
406,SE,2002,1,6,186,82,10,329
407,SE,2002,1,7,232,368,4,555
408,SE,2004,2,0,31,398,161,403
409,SE,2004,2,1,129,426,680,185
410,SE,2004,2,2,397,400,853,50
411,SE,2004,2,3,397,141,162,74
412,SE,2004,2,4,380,117,59,118
413,SE,2004,2,5,223,86,24,142
414,SE,2004,2,6,177,68,6,320
415,SE,2004,2,7,214,310,2,656
416,SE,2006,3,0,47,384,147,316
417,SE,2006,3,1,153,425,696,113
418,SE,2006,3,2,385,379,818,50
419,SE,2006,3,3,357,137,184,40
420,SE,2006,3,4,370,111,56,65
421,SE,2006,3,5,230,70,13,98
422,SE,2006,3,6,195,58,8,337
423,SE,2006,3,7,189,357,3,907
424,SE,2008,4,0,67,342,164,205
425,SE,2008,4,1,163,449,631,136
426,SE,2008,4,2,364,349,775,26
427,SE,2008,4,3,332,132,169,26
428,SE,2008,4,4,295,110,62,52
429,SE,2008,4,5,243,83,19,99
430,SE,2008,4,6,184,56,4,267
431,SE,2008,4,7,182,306,5,1019
432,SE,2010,5,0,62,377,182,146
433,SE,2010,5,1,112,330,501,75
434,SE,2010,5,2,269,261,629,16
435,SE,2010,5,3,286,96,116,14
436,SE,2010,5,4,258,88,48,32
437,SE,2010,5,5,191,64,11,72
438,SE,2010,5,6,159,42,4,193
439,SE,2010,5,7,160,238,6,949
440,CH,2002,1,0,168,334,207,553
441,CH,2002,1,1,259,423,749,306
442,CH,2002,1,2,452,428,741,43
443,CH,2002,1,3,353,199,215,50
444,CH,2002,1,4,239,116,64,100
445,CH,2002,1,5,242,117,41,164
446,CH,2002,1,6,127,60,5,325
447,CH,2002,1,7,199,363,17,497
448,CH,2004,2,0,155,321,192,607
449,CH,2004,2,1,252,377,885,240
450,CH,2004,2,2,433,328,745,34
451,CH,2004,2,3,386,185,217,48
452,CH,2004,2,4,300,121,65,93
453,CH,2004,2,5,241,113,21,136
454,CH,2004,2,6,152,52,8,330
455,CH,2004,2,7,220,642,8,652
456,CH,2006,3,0,144,314,183,433
457,CH,2006,3,1,232,319,739,154
458,CH,2006,3,2,386,301,602,27
459,CH,2006,3,3,288,148,191,28
460,CH,2006,3,4,262,109,52,57
461,CH,2006,3,5,221,106,21,134
462,CH,2006,3,6,127,53,9,304
463,CH,2006,3,7,143,454,6,665
464,CH,2008,4,0,138,358,206,385
465,CH,2008,4,1,193,333,733,136
466,CH,2008,4,2,349,300,597,22
467,CH,2008,4,3,311,142,193,22
468,CH,2008,4,4,265,81,50,55
469,CH,2008,4,5,232,76,29,84
470,CH,2008,4,6,145,44,5,316
471,CH,2008,4,7,185,484,6,798
472,CH,2010,5,0,115,275,177,234
473,CH,2010,5,1,182,278,610,113
474,CH,2010,5,2,327,234,507,22
475,CH,2010,5,3,282,138,143,24
476,CH,2010,5,4,216,74,42,38
477,CH,2010,5,5,160,72,18,75
478,CH,2010,5,6,106,33,5,253
479,CH,2010,5,7,118,401,4,746
480,GB,2002,1,0,44,393,499,871
481,GB,2002,1,1,46,293,558,253
482,GB,2002,1,2,184,338,611,54
483,GB,2002,1,3,213,177,190,40
484,GB,2002,1,4,286,129,76,103
485,GB,2002,1,5,240,103,48,104
486,GB,2002,1,6,292,68,22,288
487,GB,2002,1,7,747,551,48,339
488,GB,2004,2,0,23,412,508,664
489,GB,2004,2,1,42,307,490,347
490,GB,2004,2,2,161,323,515,52
491,GB,2004,2,3,188,114,190,50
492,GB,2004,2,4,246,114,77,86
493,GB,2004,2,5,230,82,50,107
494,GB,2004,2,6,244,64,14,218
495,GB,2004,2,7,761,479,50,371
496,GB,2006,3,0,60,513,716,628
497,GB,2006,3,1,86,363,602,343
498,GB,2006,3,2,229,421,637,72
499,GB,2006,3,3,248,182,187,33
500,GB,2006,3,4,299,145,99,93
501,GB,2006,3,5,303,127,62,123
502,GB,2006,3,6,312,79,26,376
503,GB,2006,3,7,856,562,65,726
504,GB,2008,4,0,69,547,762,600
505,GB,2008,4,1,64,350,542,184
506,GB,2008,4,2,217,405,616,56
507,GB,2008,4,3,298,187,198,31
508,GB,2008,4,4,280,132,89,84
509,GB,2008,4,5,310,118,56,92
510,GB,2008,4,6,364,120,33,360
511,GB,2008,4,7,750,492,55,945
512,GB,2010,5,0,65,616,904,452
513,GB,2010,5,1,78,362,631,227
514,GB,2010,5,2,225,415,555,30
515,GB,2010,5,3,232,181,167,36
516,GB,2010,5,4,321,138,79,54
517,GB,2010,5,5,297,114,34,94
518,GB,2010,5,6,382,125,15,380
519,GB,2010,5,7,818,470,35,1149
